instance_size,population,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,h2d_transfer_ms,d2h_transfer_ms,feasible_pct,init_fitness,final_fitness,improvement
medium,1024,cuda_basic,47,0.221191,Yes,895,21.8697,661.397,0.456384,6.59827,12.5977,0.128238,0.221191,0.0929532
medium,1024,cuda_basic,48,0.217024,Yes,761,18.189,543.096,0.453728,5.22979,10.8398,0.125766,0.217024,0.0912583
medium,1024,cuda_basic,49,0.220692,Yes,955,24.0553,718.048,0.474816,7.12937,12.8906,0.135508,0.220692,0.0851844
medium,1024,cuda_basic,50,0.220219,Yes,770,18.3675,548.449,0.461568,5.28563,13.5742,0.128166,0.220219,0.0920528
medium,1024,cuda_basic,51,0.22152,Yes,1083,27.2576,831.584,0.45456,8.00457,10.6445,0.129281,0.22152,0.0922392
medium,1024,cuda_optimized,42,0.21909,Yes,1698,27.2194,1452.63,0.465856,7.75437,10.6445,0.124364,0.21909,0.0947256
medium,1024,cuda_optimized,43,0.223326,Yes,1722,28.3417,1467.05,0.458944,8.58189,12.207,0.125838,0.223326,0.0974885
medium,1024,cuda_optimized,44,0.224354,Yes,1637,26.4671,1393.42,0.472256,7.62438,12.9883,0.126374,0.224354,0.0979798
medium,1024,cuda_optimized,45,0.220373,Yes,1269,20.0401,1046.97,0.460672,5.89507,14.1602,0.126408,0.220373,0.0939641
medium,1024,cuda_optimized,46,0.219092,Yes,1354,21.1282,1121.19,0.453568,6.00003,9.66797,0.129099,0.219092,0.0899929
medium,1024,cuda_optimized,47,0.221191,Yes,1438,22.4726,1203.01,0.492064,6.64234,12.5977,0.128238,0.221191,0.0929532
medium,1024,cuda_optimized,48,0.217024,Yes,1217,18.9069,993.078,0.457056,5.64137,10.8398,0.125766,0.217024,0.0912583
medium,1024,cuda_optimized,49,0.220692,Yes,1554,24.8485,1315.95,0.452032,7.37667,12.8906,0.135508,0.220692,0.0851844
medium,1024,cuda_optimized,50,0.220219,Yes,1222,19.0767,999.421,0.465632,5.89446,13.5742,0.128166,0.220219,0.0920528
medium,1024,cuda_optimized,51,0.22152,Yes,1754,28.036,1502.77,0.468288,8.27901,10.6445,0.129281,0.22152,0.0922392
medium,4096,sequential,42,0.235937,Yes,109453,,,,,100,0.13137,0.235937,0.104567
medium,4096,sequential,43,0.236892,Yes,108102,,,,,100,0.131514,0.236892,0.105378
medium,4096,sequential,44,0.236849,Yes,71601,,,,,100,0.130603,0.236849,0.106245
medium,4096,sequential,45,0.236082,Yes,66803,,,,,100,0.129102,0.236082,0.106979
medium,4096,sequential,46,0.235381,Yes,76601,,,,,100,0.128995,0.235381,0.106386
medium,4096,sequential,47,0.234758,Yes,61914,,,,,100,0.137031,0.234758,0.0977268
medium,4096,sequential,48,0.23673,Yes,107332,,,,,100,0.129807,0.23673,0.106923
medium,4096,sequential,49,0.23471,Yes,59820,,,,,100,0.131931,0.23471,0.10278
medium,4096,sequential,50,0.237365,Yes,86974,,,,,100,0.134133,0.237365,0.103232
medium,4096,sequential,51,0.235942,Yes,76011,,,,,100,0.13092,0.235942,0.105022
medium,4096,cuda_basic,42,0.222713,Yes,1719,33.1037,1239.11,1.00234,12.0213,12.3047,0.13262,0.222713,0.090093
medium,4096,cuda_basic,43,0.223033,Yes,1650,32.4764,1205.57,0.997888,11.4125,13.1348,0.132931,0.223033,0.0901017
medium,4096,cuda_basic,44,0.222833,Yes,1690,33.2254,1240.72,1.02778,12.3779,13.1104,0.130211,0.222833,0.0926218
medium,4096,cuda_basic,45,0.221755,Yes,1262,23.9913,882.634,1.00742,8.38278,12.3535,0.129032,0.221755,0.0927231
medium,4096,cuda_basic,46,0.222626,Yes,1295,24.4168,909.232,1.0151,8.61149,12.8662,0.134737,0.222626,0.0878894
medium,4096,cuda_basic,47,0.223774,Yes,1667,33.0599,1225.45,1.00509,11.6095,12.3535,0.131572,0.223774,0.0922015
medium,4096,cuda_basic,48,0.220572,Yes,1003,18.073,663.167,0.988544,6.42698,12.4512,0.128916,0.220572,0.091656
medium,4096,cuda_basic,49,0.2251,Yes,1656,32.5774,1219.2,1.00061,10.8666,12.3047,0.130818,0.2251,0.0942814
medium,4096,cuda_basic,50,0.22479,Yes,1681,33.0474,1228.2,1.00256,12.2684,12.5,0.130351,0.22479,0.0944396
medium,4096,cuda_basic,51,0.222769,Yes,1362,26.0078,969.38,1.00678,9.01558,13.0371,0.129894,0.222769,0.0928748
medium,4096,cuda_optimized,42,0.222713,Yes,2142,32.8962,1709.56,1.0401,11.4891,12.3047,0.13262,0.222713,0.090093
medium,4096,cuda_optimized,43,0.223033,Yes,2107,32.291,1667.56,0.99552,11.8078,13.1348,0.132931,0.223033,0.0901017
medium,4096,cuda_optimized,44,0.222833,Yes,2156,32.8792,1709.23,1.03706,11.7028,13.1104,0.130211,0.222833,0.0926218
medium,4096,cuda_optimized,45,0.221755,Yes,1608,23.9145,1235.49,1.01354,8.70986,12.3535,0.129032,0.221755,0.0927231
medium,4096,cuda_optimized,46,0.222626,Yes,1641,24.4176,1259.25,1.01162,8.42518,12.8662,0.134737,0.222626,0.0878894
medium,4096,cuda_optimized,47,0.223774,Yes,2125,32.7212,1690.45,0.998304,12.8179,12.3535,0.131572,0.223774,0.0922015
medium,4096,cuda_optimized,48,0.220572,Yes,1265,18.3618,928.34,0.990464,6.45885,12.4512,0.128916,0.220572,0.091656
medium,4096,cuda_optimized,49,0.2251,Yes,2118,32.539,1683.09,1.02058,11.4679,12.3047,0.130818,0.2251,0.0942814
medium,4096,cuda_optimized,50,0.22479,Yes,2130,32.8455,1694.82,0.994688,11.7948,12.5,0.130351,0.22479,0.0944396
medium,4096,cuda_optimized,51,0.222769,Yes,1726,26.0985,1338.95,0.990624,9.38295,13.0371,0.129894,0.222769,0.0928748
medium,16384,sequential,42,0.237145,Yes,438998,,,,,100,0.13293,0.237145,0.104216
medium,16384,sequential,43,0.236948,Yes,373734,,,,,100,0.130943,0.236948,0.106005
medium,16384,sequential,44,0.237771,Yes,433541,,,,,100,0.13333,0.237771,0.104441
medium,16384,sequential,45,0.236816,Yes,393883,,,,,100,0.13312,0.236816,0.103696
medium,16384,sequential,46,0.237839,Yes,384358,,,,,100,0.136101,0.237839,0.101738
medium,16384,sequential,47,0.236893,Yes,441751,,,,,100,0.136082,0.236893,0.100811
medium,16384,sequential,48,0.23728,Yes,396773,,,,,100,0.129505,0.23728,0.107775
medium,16384,sequential,49,0.237248,Yes,432688,,,,,100,0.133432,0.237248,0.103816
medium,16384,sequential,50,0.23799,Yes,441578,,,,,100,0.133718,0.23799,0.104272
medium,16384,sequential,51,0.239052,Yes,435697,,,,,100,0.129363,0.239052,0.109689
medium,16384,cuda_basic,42,0.224368,Yes,3947,77.0897,2407.36,3.05414,24.3855,13.2324,0.137729,0.224368,0.0866384
medium,16384,cuda_basic,43,0.222331,Yes,2525,44.8542,1395.83,3.09264,14.3391,13.6536,0.13275,0.222331,0.0895811
medium,16384,cuda_basic,44,0.22366,Yes,2757,52.7505,1604.1,3.44125,16.953,13.8916,0.134802,0.22366,0.0888574
medium,16384,cuda_basic,45,0.22429,Yes,3542,71.9419,2189.82,3.01155,21.4835,13.5559,0.133084,0.22429,0.0912062
medium,16384,cuda_basic,46,0.224043,Yes,3362,70.4056,2048.79,3.46365,21.8683,12.854,0.135888,0.224043,0.0881546
medium,16384,cuda_basic,47,0.223865,Yes,2838,57.2819,1682.79,3.00717,17.1486,13.4338,0.133057,0.223865,0.090808
medium,16384,cuda_basic,48,0.223732,Yes,3191,63.0265,1892.1,3.77907,20.5515,13.3972,0.133264,0.223732,0.0904679
medium,16384,cuda_basic,49,0.223169,Yes,2668,51.834,1522.98,3.18614,18.2017,13.1104,0.133483,0.223169,0.0896856
