instance_size,population,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,h2d_transfer_ms,d2h_transfer_ms,feasible_pct,init_fitness,final_fitness,improvement
medium,512,cuda_optimized,47,0.219229,Yes,1829,42.6639,1602.53,0.45728,13.8941,10.9375,0.124434,0.219229,0.0948
medium,512,cuda_optimized,48,0.219329,Yes,2013,47.1257,1779.97,0.551136,15.6543,10.1562,0.12435,0.219329,0.095
medium,512,cuda_optimized,49,0.219931,Yes,1687,38.976,1470.59,0.585664,14.9212,14.0625,0.126067,0.219931,0.0939
medium,512,cuda_optimized,50,0.218954,Yes,1945,44.975,1717.64,0.561824,15.2306,12.1094,0.127698,0.218954,0.0913
medium,512,cuda_optimized,51,0.219167,Yes,1681,38.2675,1472.08,0.560384,13.701,13.2812,0.130883,0.219167,0.0883
medium,1024,sequential,42,0.234761,Yes,25027,0.105748,0.234761,0.129
medium,1024,sequential,43,0.234528,Yes,21563,0.109469,0.234528,0.1251
medium,1024,sequential,44,0.232789,Yes,12080,0.100914,0.232789,0.1319
medium,1024,sequential,45,0.234258,Yes,25201,0.114162,0.234258,0.1201
medium,1024,sequential,46,0.234372,Yes,22563,0.103524,0.234372,0.1308
medium,1024,sequential,47,0.234671,Yes,18574,0.100424,0.234671,0.1342
medium,1024,sequential,48,0.23411,Yes,25038,0.0987854,0.23411,0.1353
medium,1024,sequential,49,0.235099,Yes,22143,0.104965,0.235099,0.1301
medium,1024,sequential,50,0.233147,Yes,18034,0.102302,0.233147,0.1308
medium,1024,sequential,51,0.234911,Yes,24526,0.10166,0.234911,0.1333
medium,1024,cuda_basic,42,0.219456,Yes,1472,36.4613,1187.63,0.858976,18.8142,12.793,0.127041,0.219456,0.0924
medium,1024,cuda_basic,43,0.221753,Yes,1513,37.2908,1211.43,0.863648,18.5983,11.9141,0.127434,0.221753,0.0943
medium,1024,cuda_basic,44,0.22154,Yes,1509,37.6351,1216.06,0.861632,18.044,10.2539,0.124064,0.22154,0.0975
medium,1024,cuda_basic,45,0.22018,Yes,1148,28.3795,898.099,0.826144,11.4688,11.6211,0.129592,0.22018,0.0906
medium,1024,cuda_basic,46,0.221785,Yes,1481,37.0897,1193.71,0.814304,17.6261,12.5,0.124513,0.221785,0.0973
medium,1024,cuda_basic,47,0.220254,Yes,1106,26.5419,863.319,0.882048,13.8462,12.793,0.127158,0.220254,0.0931
medium,1024,cuda_basic,48,0.222454,Yes,1077,25.4487,835.444,0.896128,13.4464,13.6719,0.126455,0.222454,0.096
medium,1024,cuda_basic,49,0.218798,Yes,912,21.8049,691.276,0.828256,10.8383,11.1328,0.127468,0.218798,0.0913
medium,1024,cuda_basic,50,0.221924,Yes,1115,27.2313,868.284,0.87152,14.4023,11.1328,0.127376,0.221924,0.0945
medium,1024,cuda_basic,51,0.221445,Yes,1451,36.333,1162.04,0.861408,19.1515,11.6211,0.128118,0.221445,0.0933
medium,1024,cuda_optimized,42,0.219456,Yes,2461,45.623,2163.45,0.871456,18.7971,12.793,0.127041,0.219456,0.0924
medium,1024,cuda_optimized,43,0.221753,Yes,2465,45.5557,2160.37,0.869056,18.2941,11.9141,0.127434,0.221753,0.0943
medium,1024,cuda_optimized,44,0.22154,Yes,2459,44.8327,2169.8,0.874208,18.4682,10.2539,0.124064,0.22154,0.0975
medium,1024,cuda_optimized,45,0.22018,Yes,1941,34.4095,1680.2,0.869792,13.8977,11.6211,0.129592,0.22018,0.0906
medium,1024,cuda_optimized,46,0.221785,Yes,2545,46.5215,2234.7,1.0735,18.1696,12.5,0.124513,0.221785,0.0973
medium,1024,cuda_optimized,47,0.220254,Yes,1840,33.1418,1592.17,1.01965,12.0599,12.793,0.127158,0.220254,0.0931
medium,1024,cuda_optimized,48,0.222454,Yes,1753,31.4269,1518.28,0.845184,11.518,13.6719,0.126455,0.222454,0.096
medium,1024,cuda_optimized,49,0.218798,Yes,1535,27.4667,1306.79,0.80288,9.96333,11.1328,0.127468,0.218798,0.0913
medium,1024,cuda_optimized,50,0.221924,Yes,1905,34.8175,1652.76,0.866944,12.7416,11.1328,0.127376,0.221924,0.0945
medium,1024,cuda_optimized,51,0.221445,Yes,2500,45.8254,2196.75,0.877152,16.7412,11.6211,0.128118,0.221445,0.0933
medium,4096,sequential,42,0.235835,Yes,79465,0.106559,0.235835,0.1293
medium,4096,sequential,43,0.236416,Yes,85457,0.109469,0.236416,0.1269
